Date,Open,High,Low,Close,AdjClose,Volume
18-10-2013,486.466614,505.834015,485.181427,503.816559,503.816559,23219507
21-10-2013,503.841492,507.597412,497.908722,499.776703,499.776703,7283800
22-10-2013,500.623535,504.608612,496.035736,501.619812,501.619812,4433757
23-10-2013,498.631012,515.442993,498.446686,513.779236,513.779236,5346365
24-10-2013,514.008362,518.342102,510.486572,510.860168,510.860168,4199883
25-10-2013,512.489075,512.489075,503.482819,505.704498,505.704498,4076222
28-10-2013,505.704498,509.804138,504.603607,505.604858,505.604858,2326086
29-10-2013,507.647217,516.533875,504.857666,516.185181,516.185181,3222032
30-10-2013,516.778015,516.81781,511.08432,513.286072,513.286072,2658126
31-10-2013,512.543884,518.815369,510.07312,513.365784,513.365784,3292294
01-11-2013,513.968506,516.065674,510.636017,511.602386,511.602386,2576220
04-11-2013,513.824036,514.257446,509.10675,511.13913,511.13913,2286137
05-11-2013,508.269867,513.898804,506.810364,508.852692,508.852692,2371656
06-11-2013,510.885071,511.582458,505.789185,509.465393,509.465393,1832644
07-11-2013,509.39566,510.053192,501.938599,502.093018,502.093018,3371791
08-11-2013,502.491547,507.348328,502.367004,506.11795,506.11795,2591276
11-11-2013,502.870117,506.068146,502.11795,503.408112,503.408112,2233541
12-11-2013,501.968506,506.880096,500.623535,504.000885,504.000885,2445331
13-11-2013,501.49527,514.496521,501.370728,514.307251,514.307251,3170640
14-11-2013,515.029541,517.933655,513.251221,515.682068,515.682068,2342146
15-11-2013,515.502747,517.061951,513.231262,514.85022,514.85022,2562168
18-11-2013,515.941101,522.411865,512.698303,513.848938,513.848938,3532592
19-11-2013,513.933655,515.442993,509.614838,510.685822,510.685822,2271683
20-11-2013,513.051941,514.75061,508.274872,509.246216,509.246216,1934624
21-11-2013,511.582458,517.21637,511.08432,515.104248,515.104248,2191785
22-11-2013,514.780457,516.15033,512.688293,514.018311,514.018311,2517802
25-11-2013,516.643494,524.62854,515.577515,521.012146,521.012146,3238092
26-11-2013,522.342163,528.768066,519.522705,527.228821,527.228821,4589739
27-11-2013,529.032043,532.00592,528.020874,529.570068,529.570068,2255623
29-11-2013,529.096802,531.318481,527.746887,527.816589,527.816589,2394542
02-12-2013,529.769287,531.184021,523.418091,525.271179,525.271179,2756694
03-12-2013,523.512756,529.734436,522.551331,524.663452,524.663452,3364765
04-12-2013,523.721985,530.003418,523.03949,527.114258,527.114258,2392133
05-12-2013,526.626099,527.851501,523.582458,526.695801,526.695801,2275899
06-12-2013,532.897583,533.002197,528.060669,532.937439,532.937439,2868311
09-12-2013,533.4953,539.134216,532.015869,537.057007,537.057007,2976314
10-12-2013,536.065674,544.11554,535.81665,540.30481,540.30481,3721698
11-12-2013,541.669678,543.622375,535.577515,536.633545,536.633545,3436432
12-12-2013,537.769287,539.447998,532.504028,532.982239,532.982239,3204968
13-12-2013,535.692078,536.135437,526.969788,528.414368,528.414368,4341010
16-12-2013,530.013367,535.33844,529.022095,534.486633,534.486633,3216009
17-12-2013,534.406921,538.362061,532.19519,532.932434,532.932434,3082912
18-12-2013,533.923706,540.44928,527.542664,540.349609,540.349609,4437169
19-12-2013,538.367065,543.956116,537.525208,541.081909,541.081909,3343887
20-12-2013,542.117981,548.528992,541.968567,548.255005,548.255005,6547651
23-12-2013,551.851501,555.81665,550.496582,555.467957,555.467957,3456106
24-12-2013,555.403198,555.53772,551.981018,553.844055,553.844055,1473904
26-12-2013,554.924988,557.410706,552.274963,556.643555,556.643555,2685629
27-12-2013,557.908813,558.048279,554.392029,557.111816,557.111816,3151167
30-12-2013,558.078186,558.157898,552.439331,552.658508,552.658508,2481466
31-12-2013,554.043335,558.406982,551.064453,558.262512,558.262512,2725979
02-01-2014,555.647278,556.788025,552.06073,554.481689,554.481689,3656454
03-01-2014,555.418152,556.379578,550.401978,550.436829,550.436829,3345894
06-01-2014,554.42688,557.340942,551.154114,556.573853,556.573853,3551864
07-01-2014,560.399475,567.717041,558.486633,567.303589,567.303589,5124336
08-01-2014,570.860291,571.517822,564.528992,568.484192,568.484192,4501811
09-01-2014,569.585083,569.973572,560.678467,563.009705,563.009705,4184626
10-01-2014,567.413208,567.413208,559.029602,562.979797,562.979797,4303069
13-01-2014,561.131714,571.313599,556.499084,559.39325,559.39325,4855933
14-01-2014,566.850281,573.350952,561.938721,572.553955,572.553955,4983811
15-01-2014,574.342224,575.343445,569.759399,572.165405,572.165405,3915020
16-01-2014,572.40448,576.802979,571.856567,575.951172,575.951172,3380423
